content,created_at,like_num,location,emotion
别纠结再过十八年后，国内只要孩子愿意读书，大学几乎可以随便上，人口生源暴跌是什么概念？大家拭目以待吧,2023-06-09,0,来自贵州,中性
那时候医学分数就不低啊[笑cry],2023-06-09,0,来自四川,中性
大庆石油学院竟然跟哈工程一样！工大才高一分！😱,2023-06-09,0,来自黑龙江,中性
[赞],2023-06-09,0,来自贵州,积极
99年是我从华东船院毕业的那年[嘻嘻],2023-06-09,0,来自广东,中性
我西南政法如今确实是没落了,2023-06-09,0,来自四川,中性
@啊哈哈哈哈哈syt,2023-06-09,0,来自上海,中性
我学校竟然和厦大一样[苦涩],2023-06-09,0,来自江西,中性
现在这总分150分都能上大专，我们98年近500分，连个大专的毛都摸不上[泪],2023-06-09,1,来自陕西,中性
不是烟台大学祖坟冒青烟了？？？？[疑问],2023-06-09,0,来自山东,中性
北大580 清华 590 [允悲] 不对吧。 这两个学校必须600多,2023-06-08,0,来自天津,中性
那时候获取信息的手段太少了，基本上啥也不懂，否则99年应该可以报个更好的学校和专业,2023-06-08,0,来自陕西,中性
为什么我的评论不上榜？太黑了！,2023-06-08,0,来自陕西,消极
我98年高考的，快500分连个大专都上不了[泪]啥世道嘛，现在这大专200来分随便上……,2023-06-08,0,来自陕西,中性
我98年参加高考的，考了快500分，却连个大专都上不了[泪]，这啥世道嘛，现在这二三百分都能上大专…,2023-06-08,0,来自陕西,中性
那一年数学大题直接把我心态考蹦了……然后语文练了那么久的八股文直接来个“如果记忆可以移植”文体不限给整不会了放飞成了科幻小说[允悲],2023-06-08,0,来自重庆,消极
当年我们华理分数高过南航，接近华师大，现在没落了[汗],2023-06-08,0,来自天津,中性
@我是谭小煜skr,2023-06-08,0,来自上海,中性
填了志愿再出分，那时估分不准确就哦呵了,2023-06-08,0,来自广西,中性
曾经的湘潭大学分那么高,2023-06-08,0,来自湖南,中性
估分真是………给爷整不会了，当时拿的巨大块的橡皮记自己的选项,2023-06-08,0,来自河南,中性
这是你同事找到的？哈哈哈[哈哈][哈哈][哈哈][哈哈][哈哈],2023-06-08,0,来自广东,中性
我们都是546，你考上了哈尔滨工程大学，我考上了华东船舶工业学院，我们一起去江南造船去造大船[送花花][送花花][送花花],2023-06-08,0,来自江苏,积极
看到我们学校了，没想到当年还挺厉害,2023-06-08,0,来自上海,积极
烟台大学的录取分数线真是吊炸天了[允悲],2023-06-08,0,来自山东,消极
这一批学生高考的时候我正好毕业,2023-06-08,0,来自黑龙江,中性
炸出好多当年的学霸，评论区一片和谐，真好啊，难得见到不吵架的评论区。,2023-06-08,0,来自湖北,中性
99年大面积扩招了。,2023-06-08,0,来自山东,中性
@芋球咕噜咕噜滚啊滚 你们那,2023-06-08,0,来自北京,中性
那时的我还没出生,2023-06-08,0,来自河北,中性
[good],2023-06-07,0,来自山东,积极
之前文科好考，后来文科狗都不考,2023-06-07,0,来自湖南,消极
[思考],2023-06-07,0,来自中国,中性
[good][good][good],2023-06-07,0,来自河南,积极
先自己估分，再填志愿，感觉更合理，优秀学生分到各学校相对均衡一些,2023-06-07,0,来自广东,中性
97 年高考的在此,2023-06-07,0,来自江苏,中性
哈工程533,2023-06-07,0,来自安徽,中性
那时我分数够的，但是被比我低分的人挤掉了，很黑吧！,2023-06-07,0,来自江苏,消极
清北那么低？,2023-06-07,0,来自甘肃,中性
这些人的孩子今年高考,2023-06-07,0,来自江苏,中性
...,2023-06-07,0,来自重庆,中性
跟现在相比，考大学比以前容易了，考好大学比以前更难了,2023-06-07,0,来自河南,中性
南大比清华分数都高,2023-06-07,0,来自山东,中性
那时候的文科比理科低，现在文科比理科高好多，心疼[泪],2023-06-07,0,来自西藏,消极
那时候报纸真敢印，排第一居然不是清北？,2023-06-07,0,来自河南,消极
扩招第一届,2023-06-07,0,来自辽宁,中性
[doge]9岁,2023-06-07,0,来自吉林,中性
虽然不是那一届的，汕头大学的分数好高，大冤种。,2023-06-07,0,来自广东,中性
作为江苏考生，那年真魔幻，我数学考砸了，直接不及格，其他也发挥不好，第二场就开始发烧，几乎靠肌肉记忆完成考试，分数勉强过了一本线，然而那年清北竟然在江苏没招满，二线保底学校反而扎堆出高分。唉，不堪回首。,2023-06-07,0,来自上海,消极
多点2000年以前的录取信息嘛，挺有意思的,2023-06-06,0,来自四川,中性
原来那时候我校比湖南大学文科线高20+分,2023-06-06,0,来自辽宁,中性
👍,2023-06-06,0,来自江苏,中性
我1998年考的,2023-06-06,0,来自内蒙古,中性
理科比文科高[黑线],2023-06-06,0,来自上海,中性
清华的分数那么低？哈哈,2023-06-06,0,来自四川,中性
山西的大学一个没有[泪],2023-06-06,0,来自陕西,中性
我老公那年[挖鼻],2023-06-06,0,来自江苏,中性
我就是这一批学生[允悲][允悲][允悲]今年已经毕业20年了,2023-06-06,1,来自河北,中性
建筑老八校[吐],2023-06-06,0,来自陕西,中性
我96年高考的，录了一个大专。但怎么不记得考多少分了[允悲]你们是怎么记得这么多年的？[笑cry],2023-06-06,0,来自江西,中性
曾经我也在我们省的报纸上看到的录取信息，那心情无法形容！,2023-06-06,0,来自广东,中性
清北这么低？？,2023-06-06,0,来自陕西,消极
哪时候高中玩了三年，考了521分，刚好差几分,2023-06-06,0,来自河南,中性
西建大当时和浙大一个分数段，现在差了一百多分。,2023-06-06,0,来自陕西,中性
还是能看出点东西的[doge],2023-06-06,0,来自江苏,中性
当年很多人不是差在分数上，是差在估分上。,2023-06-05,0,来自山西,消极
[失望][失望][失望],2023-06-05,0,来自安徽,消极
报东大的分不低呀,2023-06-05,0,来自上海,中性
果然是老黄历了,2023-06-05,0,来自上海,中性
[失望],2023-06-05,0,来自甘肃,消极
中国金融学院现在还有吗？[允悲],2023-06-05,0,来自天津,中性
就是我们那年,2023-06-05,0,来自北京,积极
复旦哈工大分数偏低[允悲],2023-06-05,0,来自安徽,消极
曾几何时 河海还算是凑合能看的学校[允悲],2023-06-05,0,来自天津,中性
我2000年上的大学，看到这报纸好亲切[微笑],2023-06-05,0,来自江苏,中性
感慨万分,2023-06-05,0,来自浙江,消极
我那年还有录取名单登报纸。我跑到我姐姐单位去找报纸，好像是北京日报，因为一般报摊没有这种报纸。我姐单位的顾客还围观我，祝贺我考上大学。,2023-06-05,0,来自北京,积极
一本线546号哈哈哈哈哈哈,2023-06-05,0,来自江苏,中性
回忆满满，正是我的高考年。[允悲],2023-06-05,0,来自江苏,中性
这天我刚出生哎[举手][举手],2023-06-05,0,来自浙江,中性
我那年中考[允悲],2023-06-05,0,来自四川,中性
真幸福呀，这分数线真低，我高考那年山大在山东的分数线是630多[允悲],2023-06-05,0,来自江西,消极
99级的路过,2023-06-05,0,来自江苏,中性
我就想问你们公司还招人不？,2023-06-05,0,来自广东,中性
那会毛都不懂，报了个同济，差了几十。只好回去复了一年,2023-06-05,0,来自江苏,中性
徐医当年赢麻了[泪],2023-06-05,0,来自江苏,积极
